Level,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
8,"MemoryProtection.MarshalExtensions.ZeroFree(native int,int32)","3,960",0.00,0.00,0.00,0.00,"MemoryProtection.dll",
9,"System.Runtime.InteropServices.Marshal.FreeHGlobal(native int)","3,960",0.00,0.00,0.00,0.00,"System.Runtime.InteropServices.dll",
8,"System.Runtime.InteropServices.Marshal.AllocHGlobal(int32)","3,300",0.00,0.00,0.00,0.00,"System.Runtime.InteropServices.dll",
8,"System.Runtime.CompilerServices.Unsafe.CopyBlock(void*,void*,uint32)","4,620",0.00,0.00,0.00,0.00,"System.Runtime.CompilerServices.Unsafe.dll",
8,"System.IntPtr.op_Explicit(native int)","5,280",0.00,0.00,0.00,0.00,"System.Runtime.dll",
8,".ctor(!0,!1)",660,0.00,0.00,0.00,0.00,"MemoryProtection.dll",
7,"MemoryProtection.MarshalExtensions.ZeroFree(native int,int32)",700,0.00,0.00,0.00,0.00,"MemoryProtection.dll",
8,"System.Runtime.InteropServices.Marshal.FreeHGlobal(native int)",700,0.00,0.00,0.00,0.00,"System.Runtime.InteropServices.dll",
7,"System.Runtime.CompilerServices.Unsafe.CopyBlock(void*,void*,uint32)",700,0.00,0.00,0.00,0.00,"System.Runtime.CompilerServices.Unsafe.dll",
7,"System.Runtime.InteropServices.Marshal.AllocHGlobal(int32)",40,0.00,0.00,0.00,0.00,"System.Runtime.InteropServices.dll",
7,"System.IntPtr.op_Explicit(native int)",700,0.00,0.00,0.00,0.00,"System.Runtime.dll",
7,"MemoryProtection.MarshalExtensions.WriteInt32BigEndian(uint8*,int32)",660,0.00,0.00,0.00,0.00,"MemoryProtection.dll",
7,"System.Math.Ceiling(float64)",40,0.00,0.00,0.00,0.00,"System.Runtime.Extensions.dll",
6,"MemoryProtection.MemoryProtection.ProtectedMemoryAccess.get_Handle()",85,0.00,0.00,0.01,0.01,"MemoryProtection.dll",
7,"MemoryProtection.MemoryProtection.ProtectedMemory.GetDirectHandle()",60,0.00,0.00,0.00,0.00,"MemoryProtection.dll",
6,"MemoryProtection.MemoryProtection.Win32.Win32EncryptedMemory.Unprotect()",60,0.00,0.00,0.01,0.00,"MemoryProtection.dll",
7,"MemoryProtection.MemoryProtection.Win32.Win32EncryptedMemory.CryptUnprotectMemory(native int,uint32,uint32)",60,0.00,0.00,0.01,0.01,"MemoryProtection.dll",
6,"MemoryProtection.MemoryProtection.Win32.Win32EncryptedMemory.Protect()",37,0.00,0.00,0.00,0.00,"MemoryProtection.dll",
7,"MemoryProtection.MemoryProtection.Win32.Win32EncryptedMemory.CryptProtectMemory(native int,uint32,uint32)",37,0.00,0.00,0.00,0.00,"MemoryProtection.dll",
6,"System.IDisposable.Dispose()",60,0.00,0.00,0.00,0.00,"System.Runtime.dll",
7,"MemoryProtection.MemoryProtection.Win32.Win32EncryptedMemory.Protect()",23,0.00,0.00,0.00,0.00,"MemoryProtection.dll",
8,"MemoryProtection.MemoryProtection.Win32.Win32EncryptedMemory.CryptProtectMemory(native int,uint32,uint32)",23,0.00,0.00,0.00,0.00,"MemoryProtection.dll",
6,"System.Runtime.InteropServices.Marshal.AllocHGlobal(int32)",20,0.00,0.00,0.00,0.00,"System.Runtime.InteropServices.dll",
6,"System.IntPtr.op_Explicit(native int)",80,0.00,0.00,0.00,0.00,"System.Runtime.dll",
6,"MemoryProtection.MemoryProtection.ProtectedMemory.get_ContentLength()",60,0.00,0.00,0.00,0.00,"MemoryProtection.dll",
5,"MemoryProtection.MemoryProtection.ProtectedMemory.Allocate(int32)",20,0.00,0.00,0.03,0.00,"MemoryProtection.dll",
6,"MemoryProtection.MemoryProtection.Win32.Win32EncryptedMemory..ctor(int32)",20,0.00,0.00,0.02,0.01,"MemoryProtection.dll",
7,"MemoryProtection.MemoryProtection.ProtectedMemory.Protect()",20,0.00,0.00,0.00,0.00,"MemoryProtection.dll",
8,"MemoryProtection.MemoryProtection.Win32.Win32EncryptedMemory.Protect()",20,0.00,0.00,0.00,0.00,"MemoryProtection.dll",
9,"MemoryProtection.MemoryProtection.Win32.Win32EncryptedMemory.CryptProtectMemory(native int,uint32,uint32)",20,0.00,0.00,0.00,0.00,"MemoryProtection.dll",
7,"System.Math.Ceiling(float64)",20,0.00,0.00,0.00,0.00,"System.Runtime.Extensions.dll",
7,"System.Runtime.InteropServices.Marshal.AllocHGlobal(int32)",20,0.00,0.00,0.00,0.00,"System.Runtime.InteropServices.dll",
6,"System.Runtime.InteropServices.RuntimeInformation.IsOSPlatform(valuetype System.Runtime.InteropServices.OSPlatform)",20,0.00,0.00,0.01,0.01,"System.Runtime.InteropServices.RuntimeInformation.dll",
6,"System.Runtime.InteropServices.OSPlatform.get_Windows()",20,0.00,0.00,0.00,0.00,"System.Runtime.InteropServices.RuntimeInformation.dll",
5,"System.Convert.FromBase64String(string)",20,0.00,0.00,0.03,0.03,"System.Runtime.Extensions.dll",
5,"MemoryProtection.MemoryProtection.ProtectedMemory.Write(uint8[],int32)",20,0.00,0.00,0.02,0.00,"MemoryProtection.dll",
6,"MemoryProtection.MemoryProtection.ProtectedMemory.Protect()",20,0.00,0.00,0.01,0.01,"MemoryProtection.dll",
7,"MemoryProtection.MemoryProtection.Win32.Win32EncryptedMemory.Protect()",8,0.00,0.00,0.00,0.00,"MemoryProtection.dll",
8,"MemoryProtection.MemoryProtection.Win32.Win32EncryptedMemory.CryptProtectMemory(native int,uint32,uint32)",8,0.00,0.00,0.00,0.00,"MemoryProtection.dll",
6,"MemoryProtection.MemoryProtection.ProtectedMemory.IsOutOfBoundes(int32)",20,0.00,0.00,0.00,0.00,"MemoryProtection.dll",
7,"System.IntPtr.op_Explicit(native int)",40,0.00,0.00,0.00,0.00,"System.Runtime.dll",
6,"System.IntPtr.op_Addition(native int,int32)",20,0.00,0.00,0.00,0.00,"System.Runtime.dll",
6,"MemoryProtection.MemoryProtection.Win32.Win32EncryptedMemory.Unprotect()",11,0.00,0.00,0.00,0.00,"MemoryProtection.dll",
7,"MemoryProtection.MemoryProtection.Win32.Win32EncryptedMemory.CryptUnprotectMemory(native int,uint32,uint32)",11,0.00,0.00,0.00,0.00,"MemoryProtection.dll",
6,"MemoryProtection.MemoryProtection.Win32.Win32EncryptedMemory.Protect()",12,0.00,0.00,0.00,0.00,"MemoryProtection.dll",
7,"MemoryProtection.MemoryProtection.Win32.Win32EncryptedMemory.CryptProtectMemory(native int,uint32,uint32)",12,0.00,0.00,0.00,0.00,"MemoryProtection.dll",
6,"MemoryProtection.MemoryProtection.ProtectedMemory.Unprotect()",20,0.00,0.00,0.00,0.00,"MemoryProtection.dll",
7,"MemoryProtection.MemoryProtection.Win32.Win32EncryptedMemory.Unprotect()",9,0.00,0.00,0.00,0.00,"MemoryProtection.dll",
8,"MemoryProtection.MemoryProtection.Win32.Win32EncryptedMemory.CryptUnprotectMemory(native int,uint32,uint32)",9,0.00,0.00,0.00,0.00,"MemoryProtection.dll",
6,"System.Runtime.InteropServices.Marshal.Copy(uint8[],int32,native int,int32)",20,0.00,0.00,0.00,0.00,"System.Runtime.InteropServices.dll",
5,"System.Runtime.InteropServices.Marshal.Copy(native int,uint8[],int32,int32)",20,0.00,0.00,0.01,0.01,"System.Runtime.InteropServices.dll",
5,"MemoryProtection.MemoryProtection.Cryptography.ScryptProtected.ScryptHashFunction.Init(int32,int32,int32,int32)",20,0.00,0.00,0.00,0.00,"MemoryProtection.dll",
